id,category_name,total_sales
1,Fishing,6929653.690574931
2,Cleats,4431942.783185065
3,"Camping & Hiking",4118425.571018985
4,"Cardio Equipment",3694843.1966299606
5,"Women's Apparel",3147800
6,"Water Sports",3113844.684857893
7,"Men's Footwear",2891757.6623528693
8,"Indoor/Outdoor Games",2888993.9135054224
9,"Shop By Sport",1309522.0414546824
10,Computers,663000
